origen,destino,distancia(m)
I,XA,62.33
XA,XB,34.91
XB,XA,34.1
XA,XD,79.41
XD,XA,79.41
XD,B,15.83
B,XD,15.83
XD,XF,86.10
XF,XD,86.10
XF,XG,33.93
XG,XF,33.93
XG,C,64.08
C,XG,64.08
XG,XH,27.80
XH,XG,27.80
C,XE,24.31
XE,C,24.31
XE,B,14.06
B,XE,14.06
XE,A,59.62
A,XE,58.62
A,XB,14.34
XB,A,14.34
XC,XN,50.00
XB,XC,33.38
XC,ZC,33.74
ZC,XC,33.74
ZC,XK,48.10
XK,ZC,48.10
ZC,XL,29.52
XL,ZC,29.52
XK,XJ,22.30
XJ,XK,22.30
XJ,XI,27.56
XI,XJ,27.56
XJ,XP,30.61
XP,XJ,30.61
XI,XH,33.17
XI,E,28.47
E,XI,28.47
XH,XS,96.89
XS,XH,96.89
E,XS,56.47
XS,E,56.47
XP,XL,69.82
XL,XP,69.82
XP,XQ,29.66
XQ,XP,29.66
XL,XM,33.58
XL,D,19.43
D,XL,19.43
D,XM,14.34
XM,D,14.34
XM,XQ,69.93
XQ,XM,69.93
XM,XO,29.16
XO,XM,29.16
XQ,XR,25.66
XR,XQ,25.66
XS,XR,28.74
XR,XS,28.74
XS,XX,97.45
XR,XT,35.42
XT,XR,35.42
XO,XU,21.79
XN,XO,37.25
XN,F,18.22
XN,N, 160.32
N,XN,160.32
XT,XW,29.95
XW,XT,29.95
XT,XU,57.13
XU,XT,57.13
XU,XV,29.81
XV,XU,29.81
F,O,57.55
N,ZA,36.89
ZA,N,36.89
XW,XX,32.30
XX,XW,32.30
XW,XV,66.10
XV,XW,66.10
XV,XY,32.30
XY,XV,32.30
O,XZ,15.86
ZA,M,68.06
XX,P,55.54
P,XX,55.54
P,XY,12.19
XY,P,12.19
XY,XZ,35.15
XZ,XY,35.15
XZ,ZB,39.31
M,ZB,67.30
ZB,Q,75.29
Q,T,40.25
